avg. reported cases,avg.deaths per year,target_deathrate,incidence rate,Avg. income,poverty percent,male age,female age,percent married
403,137,141.6,438.9,66734,8.2,35.4,38.2,53.9
622,198,143.4,462.5,53755,11.3,31.4,32.5,46.8
28,13,170.7,406.8,54057,9,50,51.3,66
26,12,126,320.2,51817,11.7,40.9,44.7,60.8
11,4,93.8,330.6,67344,8.3,51,52.3,64.5
17,7,127.1,355.6,72018,9.5,39.6,44.5,56.2
20,10,227.6,532.1,47596,10.7,48.5,48,51
24,11,166.9,352.4,44282,13.2,52.2,49.7,60.5
26,10,174.5,516.2,54593,8,45.3,47.3,60.2
10,5,205.2,403,53420,10.7,41.2,40.8,55.8
277,99,162.5,462.5,50435,16.7,28.5,30.7,45.7
18,8,147.3,385.4,39679,16.1,53.7,53.6,62.6
22,11,232.3,535.5,51192,9.5,50.1,54.6,65.1
19,8,160.3,481.5,50038,11.1,49.6,46.4,65.9
13,4,104.8,336.1,46923,14.1,46.3,47.6,72.3
27,10,134.7,370.5,53721,9.7,47.1,50.6,64.6
11,4,108.8,360.6,44696,11.9,51.8,51.9,62.2
36,13,148.3,429.1,48887,12.3,41.5,44.8,59.4
22,8,125.9,424.9,40258,13,51.4,56.4,62.2
19,9,124.6,254.7,81209,8.6,32.4,32.1,51.1
70,22,153.1,515.6,56616,10.1,47,47.5,64.2
55,17,151.9,482,74047,7.3,43.8,46.6,62.8
160,56,165.2,487.9,54637,9.2,37.1,40,57.2
42,17,196.8,485.1,66807,9.3,34.5,35.5,46.1
23,13,205.3,436,45040,10.8,51.8,54,58.5
9,3,137.6,338.6,62010,10.6,45.8,49.6,72.5
43,22,177,381.4,56298,8.9,45.7,48.4,60.2
26,10,106.5,357.4,39572,11.6,44.9,50.1,58.1
67,27,164.9,436.3,51097,12.3,40.5,43.8,48.5
35,16,181.4,447,56270,8.4,42.1,46.6,56.3
14,6,151.7,403.5,60957,7.7,40.8,39.5,60.2
90,28,137.7,456.9,57177,9.7,37,41.5,54.1
61,26,216.9,474.1,35630,31.6,28.9,31,38.8
31,11,188.2,579.7,58467,7.3,44.6,46,60.9
9,4,124.8,374.8,44990,16.1,51.9,52.2,63.2
15,6,259.1,481.1,33950,33.6,25.3,28.4,27.2
126,43,131.8,425.7,76672,7.6,34.2,36,55.8
10,4,117.6,341.9,59408,7.1,51.5,48.8,62.2
130,53,172.5,471,53333,11.6,38.4,43.4,50.8
19,7,169.4,527.4,51961,10.9,49.3,48,65.9
53,19,158,475.3,58995,8.9,39.9,43.1,54.6
266,99,178.3,475,54366,13.1,36.7,38.4,54.8
1072,424,174.3,454.6,49626,13,40.9,43.3,53.8
220,98,195.9,445.2,41450,18.1,37.6,39.6,54.4
116,51,201.7,468.1,36409,20.4,40.5,41.7,49.8
119,60,212.3,430.8,36176,22.7,40.2,42.1,53
370,156,194.7,490.9,37873,14.9,50.2,52.4,57.5
887,375,166.2,401,57408,11.9,34.3,35.7,59.9
210,102,198.2,426.3,39779,16.9,40.4,42.7,57.7
68,33,214,456.2,32734,27.4,38.2,43.6,51.6
27,15,202.4,364.5,39493,18,40.7,47,55.7
146,66,167.6,380.4,36964,17.9,43.7,44.9,56.1
63,38,229,403.9,29541,32.1,40.6,46,44.9
104,46,170.4,401.9,38504,21.5,32.6,35.6,43.1
76,27,137.6,398.5,35049,25,43.8,47.1,48.3
98,54,228.7,433.2,33826,19.9,42.8,45.5,52.3
189,83,188.5,460.8,40555,15.2,46.1,48.8,57
51,18,163.4,462.3,43201,16.6,41.6,42.9,58.2
120,62,210,414.9,37495,24.1,33.7,37.6,47.2
120,47,167.2,443.9,42348,18.3,38.9,42.4,54.2
374,187,191,387.1,42851,22.3,32.2,35.1,48.5
296,134,195.3,439.8,43466,16.6,37.9,39.8,58
190,117,242.9,389.9,35455,27.3,33.4,35.4,40.3
93,51,230.9,433.4,38597,22.3,38.5,41.8,53
53,28,250,472.7,34018,21,41.4,45.3,52.3
146,63,194,453.8,36620,24.9,40,42.3,45.5
73,31,186.9,455.6,33028,27.3,39.5,39.3,44.2
98,42,190.6,455.8,36801,24,34.1,39.3,50.7
455,173,174,449,51436,14.7,31.1,32.1,49
92,48,201.6,396.3,40404,17.5,39.2,41.6,55.1
78,35,175,394.1,33347,22.6,46.4,48.7,62.2
665,292,196.4,464.4,40621,18.7,42.4,45.6,50.9
106,39,190.5,502.9,46067,13.3,39.2,40.4,57.9
197,94,194.5,414.1,42572,16.3,37.1,39.5,53.1
102,50,185,380.6,33136,24.4,37.6,39.8,45.3
174,83,200.3,422.1,37831,18.7,38.8,42.5,52.7
87,36,190.8,477.4,35940,19.5,43.2,45.1,52.3
71,37,220.6,434.6,37336,18.8,38.2,39.3,48
196,77,170.1,438.6,41085,18.6,37.5,40.3,53.2
93,42,184.1,420,32744,22,45.9,50.4,56.7
119,52,233,532.1,32427,25.1,40.2,42.1,41.5
435,175,204.1,502.1,35927,26.8,36.3,40.4,40
116,52,176.9,395.3,34923,19.7,36.9,39,54.6
39,22,195.2,364.1,32225,27.5,43.3,46.4,41.5
102,51,213.5,442.5,34916,23,38.9,42.9,48.9
50,29,217.6,382.4,28006,39.3,37.9,44.7,34.4
61,29,194.4,402.4,37644,29,36.3,41.3,37.2
85,38,196,460.7,40418,17,41,41.5,56.7
68,36,205.5,392.5,37691,18.2,38.5,43.1,49.1
125,66,221.2,424.7,36391,21.1,42.4,43.8,50.7
331,135,204.9,492.3,54459,12.3,34.2,36.5,58.3
77,39,195.3,393.4,39158,18,40.9,42.6,62.2
126,61,213.7,442,33181,20.3,50.7,52.1,58.2
206,104,212.3,423.4,40877,20.8,36.3,40.2,45.7
194,112,236.4,403.3,33577,27.1,34,37.1,45.8
61,28,229.9,515.3,30682,28.1,43.7,46.9,42.7
58,24,146.2,400.3,34597,20.1,47.7,49.1,59.8
48,25,210.7,407.9,30935,25.1,39.1,44.5,52.5
250,102,173.3,430.4,46931,16.8,37.6,39.7,51
48,24,203.6,397.4,35895,20.1,46.7,49.1,56.7
148,69,198.5,426.8,34971,23,41.6,43.6,48.2
65,29,209.9,484.6,40556,17.3,41.8,44.6,54.3
110,62,248.7,438.5,28171,35.3,35.1,39.6,35.7
58,27,184.3,401.8,36893,20,41.2,41.7,56.9
145,76,247.1,480.5,35851,21.9,38.7,41.9,47.9
116,57,187.2,396.4,33127,22,42.4,44.8,51.3
313,138,207.1,475.7,39909,18.3,34.2,36.5,51.5
55,25,196.7,449.5,39896,18.7,44.9,46.7,56.5
1908,739,182.7,472.3,45698,16.1,34.8,37.9,43.5
317,140,190.5,443.3,43057,16.7,40.7,43.7,51.1
103,54,212.5,425.6,37761,18.3,40.3,44.5,56.4
113,59,202.9,375.9,30489,33.4,36.6,39.6,37.4
590,218,169,461.3,55915,8.7,38.2,39.3,55.6
60,30,207.4,410,33202,23.7,40.1,42.9,56.8
57,29,219.4,445.8,31765,23.3,46,47.6,57.5
583,258,187.5,429.4,39907,22.1,35.8,38.3,50.3
68,31,179.5,388.4,37014,20.4,33.8,35.7,53.3
134,56,190.4,493.4,32101,21.6,46.5,47.9,53.9
81,36,171.7,408.4,30010,24.4,47.4,50,55.4
255,116,218.7,494.4,40841,23.1,38.3,41.1,50.8
113,51,178.9,424,32975,22,46.4,47.8,53.3
756,303,173.1,430.3,45589,19.3,30.5,32,49
406,174,201.4,473.3,42044,19.4,35,37.2,53.8
50,22,215.9,492.6,29969,25.1,42,45.5,42.1
117,56,207.9,445.9,37080,17.4,36.6,41.3,53.1
6282,2236,147.7,413.4,76996,12.5,36.2,38.1,47.8
279,105,166.6,469.8,54610,12.9,47.9,52.6,52.2
1296,500,178.7,489.2,42302,21.9,35.2,39.1,42.4
298,116,157.4,413.9,53321,13.7,50,51.4,55.5
84,32,153.3,400.2,48006,14.3,33.1,35,55.1
75,33,211.9,482.9,34679,18.8,44.6,45.6,44.7
5182,1744,151.5,456.3,80338,10.5,37.5,40.1,51.5
142,60,185.4,431.6,41419,22.4,37.2,44.5,40.8
1038,342,151.5,458.6,70235,11.4,43.8,45.7,55.8
3367,1260,152.8,412.6,43338,27.5,30.5,32.3,44.2
135,51,165.2,443.4,43755,17.1,35.6,38.5,51.4
696,273,177.4,459.5,40581,21,36.6,38.3,41.4
606,207,130.3,387.9,38737,23.6,31,33.6,44.2
111,40,138.1,408.4,49267,14,44.5,47.7,46.8
2899,1078,161.3,419.5,47451,24.5,30.5,31.7,46.5
161,60,156.8,431.5,38221,22.7,39.8,43,54.1
325,121,159.7,430.2,53572,12,39.8,42.4,51.7
12,5,126.9,371.2,37911,19.1,41.8,47.3,56.5
141,57,174.6,460.7,36734,19.2,50.7,50.8,55.9
9,3,130.6,349.8,43132,15.4,51.1,51.3,66.3
46,17,129.5,378.7,41539,12.6,51.6,52.5,55.3
18,6,198.6,573.8,36903,18,52.3,44.2,55.1
35,12,188.8,538.8,36449,17.3,52.3,50.7,46
463,173,158.9,420.1,44716,15.8,33.9,35.7,45.2
39,14,196.6,587,39827,19.1,49,48.1,58
98,31,140.9,459.2,42942,14.7,46.3,47.1,52.2
29,10,151.2,456.8,41595,15.7,45.6,49.1,60.8
36,16,171.7,424.8,39292,20.3,41.7,42.3,50.2
43,16,161,462,40072,20.2,43.6,49.3,43.3
238,93,151.6,404.2,42902,17.2,46.4,48.9,53.2
53,21,170.1,435.5,65738,8.2,38.1,37.9,55.9
53,19,182.6,509.5,37511,23.8,28,31,38.7
46,15,164.6,490.7,50751,20.5,38,36.1,53.8
82,29,151.3,439.6,32815,20.7,52.4,50.9,61.2
24,12,165,403.1,52711,10.2,47.3,46.9,56.5
193,79,171.4,445.5,39882,19.5,37.7,43.2,44.8
64,16,127.4,519.3,60812,8.4,47,46.4,65.2
25,10,165.6,473.1,45000,12,44.2,48.8,62.4
42,16,164.9,447.8,46208,13.9,44.7,44.8,58.3
30,11,174.2,475.5,45207,17.2,40.9,44.6,52.6
46,15,129.5,424,46328,12.4,44.4,46.4,60.5
13,5,149.4,382,35875,19.5,48.4,43.9,57.7
6,3,214.4,373.3,43859,11.7,53,49.6,56.5
812,300,168.9,475.8,51653,12.3,36.8,39.1,50.2
179,63,157.5,485.3,48658,12.5,35.5,39.6,51.9
46,16,139,472.7,50919,14,44.2,48.1,66
41,15,171.1,520.4,52914,10.3,44.7,47.3,60.5
61,23,159,434.4,55465,11.4,35.9,44.8,61.1
13,5,135.2,384.9,39964,13.9,50,51.6,64.7
19,9,156,358.2,42348,12.8,46.8,50,64
203,75,159.1,443.6,51550,12.5,31.9,33.4,50.8
53,24,201.4,485.1,49345,10.6,46.1,48.6,60.7
47,21,167.3,399.5,54240,9.2,42.1,47.7,60.8
140,59,193.1,478,66522,6.9,40.4,42.4,62
45,19,120,334.6,54421,10.4,42.8,46.7,64.4
27,11,172.1,462.8,52749,9.3,42.8,48.1,66.5
33,14,148.7,395.1,43564,13.3,43.8,43.9,68
54,16,122.2,439.5,55964,9,37.8,41.7,55.1
44,14,148.9,506.7,55758,11.3,42.5,43.7,61.2
45,19,163,394.5,50758,10.3,33.8,35,56.8
50,19,128.3,370.9,56047,9.1,43.3,44,61.3
68,29,159.7,429.8,45644,13.4,42,45.5,62.4
81,36,177.8,396,50289,14.8,33,34.3,57.1
40,19,155.4,370,40667,18.8,33.1,34.6,48.7
109,40,139.7,409,47366,13.7,35.7,37,56.6
13,4,104.6,402.3,44109,11.8,44.6,47.2,55.3
36,15,168.3,447.2,52601,10.7,41.1,42.5,58.1
236,94,177.9,487.5,50043,12.9,38.3,40.4,55.8
2341,879,179.7,476.6,52842,14,33.2,34.9,47.6
13,6,151.9,406.9,45624,13.8,42.8,48.3,62.3
37,15,150.3,423.8,54556,10.1,46.2,49.1,57.5
18,7,119.2,339.4,44794,13.6,49,50.8,64
16,5,127.2,443.6,48543,13.7,42.7,45.1,59.5
37,13,145.5,482.7,44461,12.7,45.8,47.5,60.2
146,57,165.2,463.1,50861,11,42.9,46.1,57.8
16,5,128.2,419.3,38645,15.6,50.9,52.5,62.9
17,6,141,482.9,40436,11.8,53.1,50.9,57
14,6,187.4,445.3,55319,9.1,45.6,48.8,64.9
17,7,149,404.4,43858,12.7,45.3,46.9,59.7
300,108,160.8,469.4,48499,14.7,34.8,37.1,52
48,20,155.8,411.9,62191,6.9,40.9,44.3,62.7
25,14,223.9,445.6,46744,11.4,46.9,50.6,62.4
24,9,183.7,501.5,40496,13.8,44.1,49.8,57.3
62,26,155.3,407.3,46667,12.5,42.9,47.5,63.9
38,14,155.2,450.8,51040,11.5,40.7,45.6,58.8
46,27,201.3,379.5,44947,11.5,45,46.4,58.4
30,14,185.6,425.6,48511,13.9,40,47.5,48.5
39,13,136.4,440.9,56791,9.6,39.5,43.5,61.2
52,21,161.3,411.5,45192,12,47.7,49.8,59.5
25,13,203.8,401.5,45771,11.7,45.4,46.2,59.4
60,25,161.7,461.2,42745,14.9,45.9,49,61.4
1163,422,153.5,425.9,52011,14,32.1,33.8,47.4
200,78,167,456.8,49770,14.5,39.2,40.7,55.2
192,69,161.2,473.4,51836,13.7,35.3,39.3,53.7
48,18,163.6,448.8,50893,10.4,43.3,45.2,60.9
30,9,131.6,444.6,46961,14,41.1,41.7,53.6
22,9,141.8,395.7,48535,11.7,44.2,48.1,57.5
39,18,164.7,398.7,49162,13.6,36.8,41.4,52.2
32,14,154.3,431.1,43249,13.4,48,50.9,60.7
85,34,149.1,410.1,51527,10,39.6,43.8,55.9
21,9,171.1,425,42977,12.2,46.9,50.9,62.2
15,7,147.5,327.2,56080,10.4,41.6,45.6,65.5
50,23,173.5,409.2,54137,9.5,40.1,44.6,60.3
41,16,159.5,426.4,53489,10,39.8,42.9,64.3
159,60,155.1,424.5,61768,8.4,35.9,39.8,57.2
34,16,187.7,417.6,58162,8,44.6,46.3,61.8
66,29,172.7,428.4,43842,11.7,38.8,43.8,59.4
58,29,192.2,444,44282,14.4,46.1,48.1,59.7
11,4,187.3,502.1,46051,15,49.8,53.4,59.4
84,31,181.9,529,51805,10.1,35.5,37.8,52
611,213,169.9,463.5,74008,5.3,32.7,34.6,59.5
111,47,176.2,428.6,61961,8.2,40.6,42.4,60.4
195,78,160.2,419.7,47194,15.6,37.7,39.5,51.8
2812,1119,190.8,472.2,48195,19.9,33.5,34.9,40.5
74,38,212.3,431.5,37417,19.9,44.2,46.1,56.1
99,48,202.8,422.5,38595,20.1,39.4,43.4,50.1
273,110,199.1,497.9,45914,14.3,38.5,40.9,52.5
183,84,185.6,408,43425,19.6,39.2,42,51.7
227,85,174.7,471.4,56573,14.7,42.7,44.8,56.4
116,55,230.9,496.6,30299,28.1,42.7,45.2,53
246,101,180.5,465.4,43851,16.5,39.7,42.5,52.7
285,138,214.7,460.4,37498,19.5,39.1,41.3,50.2
178,78,199.9,469.4,41326,16.9,41.5,44,52.4
143,60,211,496,35704,21.9,42.4,45,57.9
428,183,194.7,469.7,36740,17.7,42.2,44.9,53
82,40,218.9,460.3,28086,26.1,41.4,44.4,48.4
373,156,197.9,489.4,37410,23.4,39,41.5,51.3
1885,713,172.9,470.9,48380,15.9,37.8,40.9,48
44,21,230.9,483.5,27323,29.5,43.4,45,51.7
154,68,213.7,480.3,35321,25.3,37.6,42.8,41.1
162,70,185.9,456.8,36285,21.7,43.7,45.9,51.2
365,157,211.8,500.6,39506,19.6,42.3,44.5,52.7
99,41,183.7,457.4,35470,24.7,37.3,41.4,43
155,69,204.5,467.1,39303,19.1,39.1,41.6,51.5
223,105,219.1,479.3,37151,20.5,43.7,46,55.2
143,61,213.5,509.6,37443,20.2,39.5,42.1,49.1
50,25,219,457,39753,19.1,41.3,43.8,56.7
127,55,222.6,527.3,42837,17.6,41.3,42.8,54.8
71,32,196.5,449.1,35379,23.4,44.9,46.5,50.8
310,124,185.3,484,41235,17.8,41.1,44.2,53.4
102,52,211.3,414.7,31330,26.4,43,47.5,53.3
2294,871,181.6,484.4,47199,17.7,35.9,38.7,49
36,22,247.6,413.7,28524,41.9,38.8,45,32.9
141,63,218.3,484.4,33595,24.8,35.2,39.3,41
224,99,187.3,438.8,34614,21.8,38.7,41.4,55.2
82,34,217.1,538.7,36255,20.3,41,46.2,57.3
183,85,193,421.9,41802,16.5,41,44.5,51.9
344,132,170.6,467.4,53945,13.6,45.4,47.4,61.4
304,137,195.9,447.5,39528,17.4,42.2,43.1,52.1
148,74,210.7,433.7,34882,23.5,41.1,44.1,53
135,55,211.2,531.4,36886,19.3,38.8,40.5,56.5
468,193,176.3,434,43113,20.9,36.4,39,45.8
187,80,220.2,521.2,40766,20.6,41.6,44.6,53.9
168,76,216.9,490.5,42839,15.5,38.7,40.5,53.2
411,172,187.4,450.4,51303,15.5,37.4,40.2,50.8
71,35,229.6,461.4,34801,20.8,43.6,44.8,55.7
276,119,207,482.9,37392,20.6,41.6,44.2,60.4
592,241,195.4,446.6,50935,13.9,29.5,31.1,54.2
36,13,137.3,408.9,50358,12.5,44.8,46.1,57.4
126,48,191.1,488.7,36390,23.4,38.4,43.5,51.7
189,91,215.6,455.6,40683,20.8,41.2,42.9,52.1
137,66,220.1,470.1,35884,18.9,41.3,43.3,61.3
52,22,198.4,492.4,33776,23.6,41.6,45,52.3
38,14,160,483.4,31996,19.2,47.7,50.4,66.7
108,56,244,480.2,36643,20.3,43.1,45,56.9
362,159,189.2,442.4,37693,20.8,33.8,38.5,48.3
206,77,193.5,532.5,37952,22,40,41.1,50.9
379,159,198.7,492.7,43269,18,45.3,47,54.7
343,128,187.2,496.6,52640,13.4,37.4,39.3,57
970,365,177.6,450.4,53799,14.7,31.9,33.8,51
134,63,255.9,535.4,31397,24.5,37.8,39.5,50.2
81,40,227.4,465.4,44111,18.7,41.6,42.7,56.2
549,210,185.2,493.9,39905,17.7,40.8,43.7,54.1
4118,1757,202.7,461.5,44015,23,33.2,36.6,38.7
106,48,225.1,486.5,43659,15,40.6,42.7,59.1
88,39,230.1,514.7,41590,17.5,42.9,44,57.4
1019,423,187.2,472.8,38840,18.5,43.2,45.6,53.9
828,285,162.5,470.6,58291,11.3,38.3,40.4,55.6
298,123,208.4,484.6,52339,15.4,36,38.1,51.9
42,19,217,462.6,40251,17.5,37.4,42.4,49.2
117,56,196.1,444.8,37632,20.1,44.5,47.4,52.8
117,49,221.3,526.2,37453,22.6,40.5,41.9,55.8
36,14,174.1,468.4,34884,20.6,45.1,47.4,51.8
215,102,209.6,453.3,36942,19,38.7,40.4,50.2
663,267,176.7,451.1,43212,16.7,39.5,40.1,50.8
93,44,201.4,434.8,33573,23.3,40.2,45.9,49.9
182,87,205.4,443.1,36205,21.5,35.1,39.4,49
158,72,203.7,459.9,35400,21.9,40.9,43.7,53.9
788,232,139,443.4,97936,5.6,37.9,39.6,66
573,219,179.2,463.3,60955,10.1,39.1,40.9,56.6
248,156,245.2,394.3,42471,20.4,38.2,41.3,44.5
57,25,182.2,401.3,66878,10.7,30.3,33.9,58.1
474,163,168.3,499.2,42128,17.9,35.6,37.5,50
165,76,194.6,433.4,44551,17.5,48.3,50.1,55
33,16,138.8,289.2,58867,9.4,43.1,45,62
12,6,213.4,435.7,55177,11,43.4,47.5,61.1
186,81,169.1,387.6,52785,16.9,34.5,36.6,52.1
140,58,160.1,398.2,58792,11.2,40.2,41.2,59.6
26,9,110.4,334.4,36821,19.9,35.6,34.6,57.9
122,45,140,388.9,50107,13.5,51.7,51.4,57.5
326,140,181.8,415.6,52886,14.7,38.3,39.2,52.8
27,13,212.3,458.2,36027,18.3,46.4,50,56.5
102,45,151.6,341,40680,24.9,34.9,36.3,39.9
1184,430,177.3,475.2,51048,14.2,29,31.2,52.8
6298,2451,157.2,399.2,50699,18.3,31.8,34.5,45
53,24,154,372.8,57177,12,47.8,49.2,61.9
107,55,190.7,393.2,44397,15,45.3,46.7,57.8
455,200,184.8,427.6,41883,20.1,36,39.6,46.6
1217,464,169.3,429.3,73788,9.9,35,35.8,54.5
545,193,151.8,424.7,41641,26.4,24.6,25.8,37.4
45,19,160.4,387.7,40179,13.8,42.1,42.1,45.9
35,16,173.3,408,27875,32.4,26.5,38.7,32.8
210,97,188.4,427.7,41316,17.5,39.5,42,52.5
98,44,224,508,33134,27.4,40.6,43.4,43.4
583,206,172.6,490.9,51138,14.3,33.2,36.2,49
1401,577,199.4,492.8,39812,24.1,34.8,38.4,39.3
1006,396,192.2,490.4,45979,18.4,34.8,37.4,47.3
57,25,200.1,467.6,36350,23.3,36.8,43.5,46.4
39,10,133.3,509.4,59300,12.2,40.1,43.8,64.9
63,28,224.9,504.4,34116,23.3,35.6,42.5,48.2
102,38,177.8,473.5,35385,28.2,39.8,45.8,37
116,52,216.1,480.4,31835,30.9,35.5,41.2,42.8
161,64,197.8,503.8,40642,23.5,39.1,40.6,46.4
2082,759,178.8,487.1,46831,18.4,31.7,34.7,39
41,20,250.7,512.7,25402,43,32.1,36.8,28.1
135,48,212.2,570.8,41651,20.4,40.9,43.5,42.5
169,77,211.4,459.2,32615,24.1,34.6,37.5,43.7
124,37,140.5,479.6,32318,29,35.8,40.6,42.8
111,49,222.7,482.7,40668,22.8,37,39,46.2
394,155,205.9,515.4,45226,19.4,34.7,37.1,46
211,80,225.1,586.2,47377,19.9,36.3,40.1,39.7
105,47,217.7,518.6,37130,24.6,37.8,42.2,46.1
2350,941,188.6,473.9,47024,15.8,37.2,40.2,43.1
179,78,208,499.6,37968,21.7,35.7,40,46.6
1015,377,182.9,487.3,51340,15.1,33,35,44.6
478,203,198.7,467.5,47382,17.6,35.6,37.6,49.4
81,37,209.6,464.8,44139,18,37.4,42.1,52.3
188,90,205.7,436.3,32889,29.7,26.2,28.6,35
594,215,186.5,494.6,58818,12.3,34.6,36.2,52.2
47,22,181.9,379,26732,41.4,32.9,36.5,34.6
155,63,186.4,457.3,30636,29.4,37.2,41.1,42.9
189,78,181.5,447.2,34522,31.1,32.2,34.7,40.6
1619,680,193.6,466,35468,27.9,34.7,36.1,30
760,318,199.7,480.9,40877,23.6,33.5,35.9,41.9
106,41,180.7,458.7,51304,16,36.6,36.4,52.2
146,54,188.2,507.4,44469,18.3,42,43.4,45.3
707,279,189,484.9,40406,19.8,35.3,39.1,44.2
46,18,172.2,431.7,33322,25.3,36.8,41.6,44.2
110,46,191.3,456.4,36666,24.9,35.7,40.4,49.5
157,64,202.5,500.4,39561,21.2,41.1,42,51.8
168,75,233.1,516.9,45615,17.9,32.7,33.3,43
238,92,190.3,470.8,60751,12.1,36,37.9,48.7
61,28,212.5,461.5,35004,24,37.1,41.2,42.3
120,48,201.2,497.4,47477,16.1,36.7,40.2,46.7
209,87,200.6,460.8,47225,20.8,35.2,36.8,44.7
497,202,217.8,530.4,32683,30.1,35.2,37.8,43.1
272,106,198.1,499.7,46713,18,35.5,37.7,49.5
282,118,200.6,474,42075,21.8,37.1,38.2,43
1273,458,177.7,494.5,63441,11.2,38.7,41,54.3
599,250,207.1,489.9,39927,22.5,33,35.6,44.4
27,10,142.5,389,27522,32,40.7,47.3,33.8
549,234,213.2,493.1,49044,20.9,34.4,36,47.7
134,65,220.2,463.9,38998,22,40.3,43.4,50.1
328,113,180.3,529.1,45331,18.3,35.6,37.7,48.5
207,85,204.5,478.1,46682,13.9,28.8,31.4,55
296,125,224.8,536.6,29749,29.1,37.4,41.2,46.8
256,110,205,485.3,36003,22.2,38.5,43.1,44
126,42,182.8,526.7,51550,20.5,34.6,36.7,47.1
65,30,195.6,443.2,33959,22.5,37.8,41.4,46.6
73,24,148.2,429,53679,24,40.5,39.9,36.1
96,41,227.5,524.4,36644,26.8,40.1,42.6,46.9
600,242,188,478.2,46701,15.4,39.6,41.4,49
486,200,188.2,472.8,36066,20.1,45.6,47.6,54.1
1620,607,173.3,479.6,61436,10.8,40.3,43.3,49.4
177,69,167.5,435.2,41035,15.8,44.1,45.6,51.3
383,136,165.4,491.9,45807,12.9,46.2,48.4,54.1
741,308,193.2,478.4,45556,13.8,43.2,44.6,49.6
284,108,169.4,484.9,50002,13.9,45.3,49.2,51.5
236,99,170.6,436.6,47905,11.7,48.5,51,53.5
371,154,189,477.6,40120,16.1,45.2,46,48.1
929,355,187.5,507.3,42728,18,39.9,42.8,48
128,53,194,478.1,36994,20.3,49.5,50.1,52.8
208,82,173.6,451.7,55630,10.5,44.2,46,54.2
313,139,200.2,458.3,39001,17.3,44.2,45.4,51.2
250,93,180.1,484,46598,15,44.3,46,53.7
242,110,216.7,501.5,38057,18.5,45.9,47.8,51
1246,451,173.7,497.7,55482,11.2,42.9,45.2,52.6
517,183,172.2,519.3,39808,18.5,39,44.1,44.2
2676,977,176,468.1,86654,6.7,36.8,39.7,51.7
4499,1714,171,472.3,67766,9.8,37.4,40.6,46.2
406,153,175.2,444.5,92446,7.2,39.8,41.7,52.7
174,69,185.6,465.1,49573,16,39,40.6,50.2
862,326,171.1,456.2,84500,5.9,41,43.1,56.7
522,207,195.5,484.3,62198,10.6,39.5,40.5,52.5
572,239,186.7,420.5,86703,7.2,36.2,38.9,50
210,84,185.4,481.6,42279,17.5,42,45.1,47.9
1037,367,155.6,435.9,83698,6.5,38.1,40.1,54.7
166,64,154.8,417.1,47441,12.4,42.8,45.6,56.5
1302,450,169.9,485.5,79403,8,38.6,41.3,54.7
1186,346,131.9,418.1,106871,6.1,37.5,39.7,58
140,59,180,461.7,53288,13.8,44.2,47.4,47
4139,1292,120.1,392.9,97279,7.2,37,40,53.2
3222,1302,172.7,401.9,71904,10.3,34,37.7,38.5
254,100,173.8,429.6,80650,7.5,42.7,44.1,57.4
433,180,181.5,423.2,84686,8.6,35.9,36.8,53.9
151,64,216.5,511.9,38376,25.5,36.2,38.6,32.3
280,111,161.9,454.6,54836,11.7,48.2,49.6,54
782,320,181,457,54606,13.8,39.1,41.9,49.4
564,221,204.3,532.1,51927,16.9,34.4,36.7,44.7
413,164,186.8,499.8,55691,11.9,47,50.2,50.7
3144,1419,226,497.2,41895,23.3,33.3,35.9,26.6
1892,685,163,505,64150,8.9,49.5,53,53.2
860,313,157,464.3,49890,13,44.4,47.1,45.6
53,24,189.6,430.5,53244,14,33.1,37.4,50
192,78,158,424.8,55139,15,37.6,45,48.3
595,243,139.1,332.2,37935,32.3,26.8,29.6,46.6
202,83,173.1,424.5,44110,16.8,35.7,37.9,49.5
32,14,193.7,434.9,52548,12,38.4,39.7,63.9
554,261,184.8,403.5,43379,19.3,32.1,36.6,45
78,30,181.5,480.2,39377,15.8,36.6,38.4,48.8
73,35,167.3,345.6,29782,38.8,30.8,35.2,44.3
176,74,152.8,368.3,62752,11,39.3,41.3,56
28,13,182.9,383,55493,13.5,32.7,33.4,55.5
248,113,180,389.3,59904,10,38.7,39.7,57.1
283,122,167.6,417,42753,15.4,47,49.9,55.4
31,12,158.8,412.1,60738,11.4,33.5,34.2,62.2
106,51,191.1,428,41872,16.4,39.7,44.6,58.1
41,13,112.5,340.9,33291,32.6,27,30.9,52.3
37,15,126.3,321,26336,31,29.1,32.7,40.2
27,11,168.7,421.4,50818,9.8,31.9,33.4,60.8
171,62,137.3,377.6,56313,11.6,31.3,33,63.7
295,80,104.1,376.1,51735,14.2,25.2,24.9,56.1
102,38,155.9,433.1,47340,15.7,34.1,35.7,54.3
1009,268,119.3,428.8,70797,7.2,29.4,30.9,61.4
73,25,155.5,448.1,61976,11.6,30.5,30,65
37,13,113.2,339,49709,12.9,34.3,34.8,61.9
26,8,105.4,399,45666,12.2,38.3,43.6,59.9
44,19,179.8,404.1,43344,15,37.9,39.5,46.3
156,48,131.1,418,43615,22.1,27.8,28.3,54.2
34,12,136.9,392.3,55204,11.4,26.8,32.6,59.4
39,14,129,398.9,48456,11.8,41.4,45.5,55.9
49,19,131.6,361.5,52623,12.9,34.2,35.7,62.7
33,11,138.7,380.5,82597,4.6,31.6,32.8,69.2
